Country,US$,"Active
Cases","Tot Cases/
1M pop","Deaths/
1M pop",Population,People_partially_vaccinated,People_fully_vaccinated,2020
Luxembourg,"131,782","4,008","100,417","1,212","633,859",110434.0,42986.0,73.205
Switzerland,"94,696","49,524","70,951","1,201","8,703,776",1228368.0,729842.0,747.427
Ireland,"94,556","212,796","48,377",961,"4,980,557",789526.0,331477.0,418.716
Norway,"81,995","13,985","18,999",125,"5,454,156",1025429.0,299631.0,362.009
Denmark,"67,218","8,721","40,942",420,"5,808,065",1022477.0,488202.0,352.243
Iceland,"65,273",103,"18,247",85,"342,963",70058.0,28614.0,21.715
Singapore,"64,103",288,"10,305",5,"5,886,067",1131658.0,535864.0,339.981
Australia,"62,723","2,149","1,143",35,"25,729,274",159294.0,0.0,"1,359.33"
Qatar,"59,143","20,057","67,677",119,"2,807,805",100000.0,0.0,146.09
Sweden,"58,977",.,"84,488","1,342","10,148,191",1667542.0,649361.0,537.61
Netherlands,"58,003",.,"78,690",977,"17,164,371",2957777.0,826135.0,909.503
Finland,"54,330","35,185","14,791",156,"5,547,419",1267678.0,116412.0,270.637
Austria,"53,859","31,522","63,784","1,071","9,046,331",1658035.0,676423.0,428.622
Germany,"51,860","246,677","35,831",940,"83,992,315",15906352.0,5425990.0,"3,803.01"
Belgium,"50,103","839,627","79,328","2,015","11,628,838",2204943.0,696692.0,513.087
San Marino,"49,765",394,"145,820","2,501","33,987",11989.0,8435.0,1.505
Canada,"49,222","73,447","27,900",614,"37,999,006",8641720.0,884012.0,"1,643.41"
Israel,"47,602","3,432","90,886",685,"9,197,590",5341887.0,4965696.0,402.639
New Zealand,"47,499",100,516,5,"5,002,100",105391.0,30194.0,209.329
France,"44,995","4,650,143","77,367","1,510","65,385,892",11982970.0,4269590.0,"2,598.91"
Japan,"42,928","30,296","3,990",74,"126,174,664",1175324.0,678405.0,"5,048.69"
Italy,"34,997","533,005","62,422","1,892","60,392,563",10311621.0,4332143.0,"1,884.94"
Malta,"31,576",558,"66,931",909,"442,458",183987.0,80671.0,14.559
Spain,"30,996","175,262","71,576","1,632","46,768,878",9002054.0,3328701.0,"1,278.21"
Cyprus,"29,551","12,172","42,419",224,"1,214,185",145357.0,57084.0,23.967
